Usina elétrica;Dispositivo;Categoria;Evento;Subevento/Categorização;Data de início;Data Final;Duração;Descrição de categorização
Vila_Guanabara_1;VGU1-01;Estado;Aerogenerador en Marcha;;2025/01/24 00:00:00.000;2025/01/24 13:06:53.756;13:06:53;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 00:03:21.625;2025/01/24 00:03:47.783;00:00:26;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 00:06:02.500;2025/01/24 00:06:09.546;00:00:07;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 00:11:50.705;2025/01/24 00:11:52.707;00:00:02;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 00:13:51.459;2025/01/24 00:14:15.610;00:00:24;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 00:15:28.064;2025/01/24 00:15:31.079;00:00:03;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 00:17:16.704;2025/01/24 00:17:22.749;00:00:06;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 00:21:06.140;2025/01/24 00:21:18.217;00:00:12;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 00:25:21.730;2025/01/24 00:25:38.808;00:00:17;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 00:26:09.982;2025/01/24 00:26:11.994;00:00:02;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 00:26:55.277;2025/01/24 00:27:06.337;00:00:11;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 00:27:37.492;2025/01/24 00:27:52.558;00:00:15;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 00:28:26.761;2025/01/24 00:28:41.837;00:00:15;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 00:29:12.041;2025/01/24 00:29:28.135;00:00:16;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 00:31:31.806;2025/01/24 00:31:37.836;00:00:06;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 00:32:23.118;2025/01/24 00:32:35.194;00:00:12;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 00:34:31.943;2025/01/24 00:34:35.946;00:00:04;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 00:35:19.257;2025/01/24 00:35:27.303;00:00:08;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 00:37:00.864;2025/01/24 00:37:06.898;00:00:06;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 00:41:22.483;2025/01/24 00:41:26.498;00:00:04;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 00:46:35.296;2025/01/24 00:46:37.326;00:00:02;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 00:47:19.593;2025/01/24 00:47:34.678;00:00:15;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 00:49:56.576;2025/01/24 00:50:04.637;00:00:08;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 00:57:26.363;2025/01/24 00:57:43.440;00:00:17;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:06:09.454;2025/01/24 01:06:24.546;00:00:15;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:07:28.915;2025/01/24 01:07:31.952;00:00:03;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:08:07.156;2025/01/24 01:08:14.217;00:00:07;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:08:44.377;2025/01/24 01:08:52.436;00:00:08;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:09:23.655;2025/01/24 01:09:44.794;00:00:21;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:11:18.352;2025/01/24 01:11:23.369;00:00:05;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:13:30.105;2025/01/24 01:13:44.181;00:00:14;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:14:18.371;2025/01/24 01:14:20.385;00:00:02;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:16:01.982;2025/01/24 01:16:23.104;00:00:21;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:20:49.598;2025/01/24 01:20:54.627;00:00:05;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:26:40.811;2025/01/24 01:26:44.829;00:00:04;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:28:07.281;2025/01/24 01:28:14.313;00:00:07;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:30:34.165;2025/01/24 01:30:44.205;00:00:10;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:32:24.853;2025/01/24 01:32:31.885;00:00:07;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:35:59.117;2025/01/24 01:36:01.136;00:00:02;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:41:57.343;2025/01/24 01:42:01.360;00:00:04;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:42:57.703;2025/01/24 01:42:59.704;00:00:02;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:44:50.311;2025/01/24 01:44:55.331;00:00:05;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:51:13.573;2025/01/24 01:51:19.603;00:00:06;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:52:53.243;2025/01/24 01:53:05.321;00:00:12;
